stock_id,n_samples,correlation,p_value,note
2330,17,-0.3661,0.1483,
3037,5,0.7007,0.1874,
2408,14,-0.3361,0.2401,
1303,14,0.3131,0.2758,
2303,8,-0.3505,0.3946,
2317,13,-0.2309,0.4478,
3008,6,0.2892,0.5783,
2327,11,-0.1709,0.6154,
2308,9,-0.1474,0.7052,
2344,11,-0.1158,0.7346,
3711,7,-0.1538,0.742,
2301,6,-0.1721,0.7444,
2454,15,-0.084,0.766,
2059,2,,,"樣本數<5,略過計算"
2356,1,,,"樣本數<5,略過計算"
2313,1,,,"樣本數<5,略過計算"
2376,2,,,"樣本數<5,略過計算"
2368,2,,,"樣本數<5,略過計算"
2357,2,,,"樣本數<5,略過計算"
2383,4,,,"樣本數<5,略過計算"
2409,1,,,"樣本數<5,略過計算"
2426,1,,,"樣本數<5,略過計算"
2603,1,,,"樣本數<5,略過計算"
2382,3,,,"樣本數<5,略過計算"
2609,4,,,"樣本數<5,略過計算"
2801,1,,,"樣本數<5,略過計算"
2882,3,,,"樣本數<5,略過計算"
2881,2,,,"樣本數<5,略過計算"
2884,1,,,"樣本數<5,略過計算"
2886,1,,,"樣本數<5,略過計算"
2002,1,,,"樣本數<5,略過計算"
2324,1,,,"樣本數<5,略過計算"
2891,1,,,"樣本數<5,略過計算"
2889,1,,,"樣本數<5,略過計算"
3231,4,,,"樣本數<5,略過計算"
3481,2,,,"樣本數<5,略過計算"
6472,1,,,"樣本數<5,略過計算"
6491,1,,,"樣本數<5,略過計算"
6669,2,,,"樣本數<5,略過計算"
6770,2,,,"樣本數<5,略過計算"
